"id","name","fullName","activeIngridient","activeMoiety","routeOfAdministration","drugbank_id","genericMedicine","representedOrganization"
1924,"Focalin","Focalin (Tablet)","dexmethylphenidate hydrochloride","DEXMETHYLPHENIDATE","Oral","","dexmethylphenidate hydrochloride","Novartis Pharmaceuticals Corporation"
1925,"Phenytoin Sodium","Phenytoin Sodium (Capsule)","Phenytoin Sodium","Phenytoin","Oral","","Phenytoin Sodium","Mylan Pharmaceuticals Inc."
1926,"Lamisil","Lamisil (Tablet)","terbinafine hydrochloride","terbinafine","Oral","","terbinafine hydrochloride","Novartis Pharmaceuticals Corporation"
1927,"Antizol","Antizol (Injection, Solution)","fomepizole","FOMEPIZOLE","Intravenous","DB01213","fomepizole",""
1928,"Sodium Chloride","Sodium Chloride (Irrigant)","Sodium Chloride","sodium chloride","Irrigation","","Sodium Chloride","Baxter Healthcare Corporation"
1929,"Flunisolide","Flunisolide (Solution)","Flunisolide","FLUNISOLIDE","Nasal","DB00180","Flunisolide","Bausch&Lomb Incorporated"
1930,"VERELAN PM","VERELAN PM (Capsule, Extended Release)","verapamil hydrochloride","verapamil","Oral","","verapamil hydrochloride","Schwarz Pharma"
1931,"Flurbiprofen","Flurbiprofen (Tablet, Film Coated)","flurbiprofen","flurbiprofen","Oral","DB00712","flurbiprofen","Greenstone, Ltd"
1932,"Buspirone Hydrochloride","Buspirone Hydrochloride (Tablet)","Buspirone Hydrochloride","Buspirone","Oral","","Buspirone Hydrochloride","Mylan Pharmaceuticals Inc."
1933,"carvedilol","carvedilol (Tablet, Film Coated)","carvedilol","carvedilol","Oral","DB01136","carvedilol","Aurobindo Pharma Limited"
1934,"Isovue","Isovue (Injection, Solution)","iopamidol","iopamidol","Intravascular","","iopamidol","Bracco Diagnostics Inc."
1935,"Amiodarone Hydrochloride","Amiodarone Hydrochloride (Tablet)","Amiodarone Hydrochloride","Amiodarone","Oral","","Amiodarone Hydrochloride","Taro Pharmaceuticals U.S.A., Inc."
1936,"Amoxicillin and Clavulanate Potassium","Amoxicillin and Clavulanate Potassium (Powder, For Suspension)","Amoxicillin","Amoxicillin","Oral","","Amoxicillin and Clavulanate Potassium","Sandoz Inc."
1937,"Teveten","Teveten (Tablet)","eprosartan mesylate","eprosartan","Oral","","eprosartan mesylate","Abbott Laboratories"
1938,"Normosol-M and Dextrose","Normosol-M and Dextrose (Injection, Solution)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose, Sodium Chloride, Potassium Acetate and Magnesium Acetate","Hospira, Inc."
1939,"Thyrolar","Thyrolar (Tablet)","Liothyronine Sodium","Liothyronine","Oral","","Liothyronine Sodium and Levothyroxine Sodium","Forest Pharmaceuticals, Inc."
1940,"Sterile Water","Sterile Water (Injection, Solution)","Water","Water","Intravenous","","Water","Hospira, Inc."
1941,"Hep-Lock U/P","Hep-Lock U/P (Injection)","heparin sodium","heparin","Intravenous","","heparin sodium","Baxter Healthcare Corporation"
1942,"Dextrose","Dextrose (Injection, Solution)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate","Baxter Healthcare Corporation"
1943,"Carvedilol","Carvedilol (Tablet, Coated)","carvedilol","carvedilol","Oral","DB01136","Carvedilol","Ranbaxy Pharmaceuticals Inc."
1944,"Valproic Acid","Valproic Acid (Solution)","Valproic Acid","Valproic Acid","Oral","DB00313","Valproic Acid","Pharmaceutical Associates, Inc."
1945,"Hydrocodone Bitartrate and Acetaminophen","Hydrocodone Bitartrate and Acetaminophen (Tablet)","hydrocodone bitartrate","hydrocodone","Oral","","Hydrocodone Bitartrate and Acetaminophen","Mikart Inc."
1946,"BETHANECHOL CHLORIDE","BETHANECHOL CHLORIDE (Tablet)","bethanechol chloride","bethanechol cation","Oral","","bethanechol chloride","Abrika Pharmaceuticals LLLP"
1947,"Conray 30","Conray 30 (Injection)","Iothalamate Meglumine","Iothalamic acid","Intravascular","","Iothalamate Meglumine","Mallinckrodt, Inc."
1948,"Dextrose","Dextrose (Injection)","Dextrose","Dextrose","Intravenous","","Dextrose","Baxter Healthcare Corporation"
1949,"Meperidine Hydrochloride","Meperidine Hydrochloride (Injection, Solution)","Meperidine Hydrochloride","Meperidine","Intravenous","","Meperidine Hydrochloride","HOSPIRA, INC."
1950,"Lidocaine Hydrochloride and Dextrose","Lidocaine Hydrochloride and Dextrose (Injection)","Lidocaine Hydrochloride","Lidocaine","Intravenous","","Lidocaine Hydrochloride and Dextrose monohydrate","B. Braun Medical Inc."
1951,"Risperdal","Risperdal (Tablet, Orally Disintegrating)","risperidone","risperidone","Oral","DB00734","risperidone","Janssen, L.P."
1952,"Metoclopramide","Metoclopramide (Injection, Solution)","Metoclopramide hydrochloride","Metoclopramide","Intravenous","","Metoclopramide hydrochloride","Baxter Healthcare Corporation"
1953,"HYPAQUE - CYSTO","HYPAQUE - CYSTO (Injection, Solution)","diatrizoate meglumine","diatrizoic acid","Intravenous","","Diatrizoate Meglumine","Amersham Health Inc."
1954,"ProstaScint","ProstaScint (Kit)","Capromab Pendetide","Capromab Pendetide","Intravenous","","Capromab Pendetide","CYTOGEN Corporation"
1955,"Amoxicillin","Amoxicillin (Capsule)","Amoxicillin","Amoxicillin","Oral","DB01060","Amoxicillin","Aurobindo Pharma Limited"
1956,"Diazepam","Diazepam (Injection, Solution)","Diazepam","Diazepam","Intramuscular","DB00829","Diazepam","Hospira, Inc."
1957,"LITHIUM CITRATE","LITHIUM CITRATE (Syrup)","Lithium citrate","Lithium cation","Oral","","LITHIUM CITRATE","Morton Grove Pharmaceuticals, Inc."
1958,"Retin-A MICRO","Retin-A MICRO (Gel)","Tretinoin","Tretinoin","Topical","DB00755","Tretinoin","OrthoNeutrogena"
1959,"Neosporin","Neosporin (Ointment)","neomycin sulfate","neomycin","Ophthalmic","","neomycin sulfate, polymyxin B sulfate and bacitracin zinc","Burroughs Wellcome Inc."
1960,"Atarax","Atarax (Tablet)","hydroxyzine hydrochloride","hydroxyzine","Oral","","hydroxyzine hydrochloride","Roerig"
1961,"Ionosol and Dextrose","Ionosol and Dextrose (Injection, Solution)","Dextrose Hydrous","Dextrose","Intravenous","","Sodium chloride, potassium chloride, sodium lactate, magnesium chloride, potassium phosphate, sodium phosphate and Dextrose","Hospira"
1962,"Desipramine Hydrochloride","Desipramine Hydrochloride (Tablet, Film Coated)","desipramine hydrochloride","desipramine","Oral","","Desipramine Hydrochloride","Sandoz Inc."
1963,"Tamoxifen Citrate","Tamoxifen Citrate (Tablet)","Tamoxifen Citrate","Tamoxifen","Oral","","Tamoxifen Citrate","Mylan Pharmaceuticals Inc."
1964,"Plasma-Lyte 148","Plasma-Lyte 148 (Injection, Solution)","Sodium Chloride","Sodium Chloride","Intravenous","","Sodium chloride, Sodium Gluconate, Sodium Acetate, Potassium Chloride and Magnesium Chloride","Baxter Healthcare Corporation"
1965,"SURVANTA","SURVANTA (Suspension)","beractant","beractant","Endotracheal","","beractant","Abbott Laboratories, Inc."
1966,"Hectorol","Hectorol (Injection, Solution)","doxercalciferol","doxercalciferol","Intravenous","","doxercalciferol","Genzyme Corporation"
1967,"Sodium Chloride","Sodium Chloride (Injection)","Sodium Chloride","Sodium Chloride","Intravenous","","Sodium Chloride","B. Braun Medical Inc."
1968,"Metaproterenol Sulfate","Metaproterenol Sulfate (Solution)","Metaproterenol Sulfate","Metaproterenol","Respiratory (inhalation)","","Metaproterenol Sulfate","Dey"
1969,"Butalbital, Acetaminophen and Caffeine","Butalbital, Acetaminophen and Caffeine (Tablet)","Butalbital","Butalbital","Oral","","Butalbital, Acetaminophen and Caffeine","MIKART, INC."
1970,"Fosinopril Sodium and Hydrochlorothiazide","Fosinopril Sodium and Hydrochlorothiazide (Tablet)","Fosinopril Sodium","FOSINOPRIL","Oral","","Fosinopril Sodium and Hydrochlorothiazide","Genpharm L.P."
1971,"Prograf","Prograf (Capsule, Gelatin Coated)","anhydrous tacrolimus","tacrolimus","Oral","DB00864","Tacrolimus","Astellas Pharma US, Inc."
1972,"PrismaSol","PrismaSol (Kit)","Calcium chloride","Calcium cation","Hemodialysis","","Calcium chloride, Magnesium chloride, Dextrose monohydrate, Lactic Acid, Sodium Chloride, Sodium bicarbonate, and Potassium chloride","Gambro Renal Products, Inc."
1973,"Reno-60","Reno-60 (Injection, Solution)","diatrizoate meglumine","diatrizoic acid","Intravenous","","diatrizoate meglumine","Bracco Diagnostics Inc."
1974,"Mometasone Furoate","Mometasone Furoate (Ointment)","mometasone furoate","mometasone furoate","Topical","","Mometasone Furoate","E. FOUGERA and CO."
1975,"Ciclopirox Olamine","Ciclopirox Olamine (Cream)","ciclopirox olamine","ciclopirox","Topical","","Ciclopirox Olamine","Taro Pharmaceuticals U.S.A., Inc."
1976,"Aldara","Aldara (Cream)","imiquimod","imiquimod","Topical","DB00724","imiquimod","Graceway Pharamceuticals, LLC"
1977,"acyclovir","acyclovir (Tablet)","acyclovir","acyclovir","Oral","","acyclovir","Apotex Corp."
1978,"Clonazepam","Clonazepam (Tablet, Orally Disintegrating)","Clonazepam","Clonazepam","Oral","DB01068","Clonazepam","BARR LABORATORIES, INC."
1979,"Roxicodone","Roxicodone (Tablet)","Oxycodone hydrochloride","oxycodone","Oral","","Oxycodone hydrochloride","Xanodyne Pharmaceuticals, Inc."
1980,"Clomipramine Hydrochloride","Clomipramine Hydrochloride (Capsule)","Clomipramine Hydrochloride","clomipramine","Oral","","Clomipramine Hydrochloride","Mylan Pharmaceuticals Inc."
1981,"Fluvoxamine Maleate","Fluvoxamine Maleate (Tablet, Film Coated)","fluvoxamine maleate","fluvoxamine","Oral","","Fluvoxamine Maleate","Teva Pharmaceuticals USA"
1982,"carboplatin","carboplatin (Injection, Solution)","carboplatin","carboplatin","Intravenous","DB00958","CARBOPLATIN","Sun Pharma Global Inc."
1983,"Isosorbide Mononitrate","Isosorbide Mononitrate (Tablet, Film Coated)","Isosorbide Mononitrate","Isosorbide Mononitrate","Oral","DB01020","Isosorbide Mononitrate","TEVA PHARMACEUTICALS USA"
1984,"Bethanechol Chloride","Bethanechol Chloride (Tablet)","bethanechol chloride","bethanechol cation","Oral","","bethanechol chloride","UPSHER-SMITH LABORATORIES, INC."
1985,"Erythromycin-Benzoyl Peroxide","Erythromycin-Benzoyl Peroxide (Gel)","erythromycin","erythromycin","Topical","","Erythromycin and Benzoyl Peroxide","Perrigo"
1986,"Glipizide and Metformin Hydrochloride","Glipizide and Metformin Hydrochloride (Tablet, Film Coated)","Glipizide","Glipizide","Oral","","Glipizide and Metformin Hydrochloride","Mylan Pharmaceuticals Inc."
1987,"Intal","Intal (Inhalant)","cromolyn sodium","cromolyn","Respiratory (inhalation)","","cromolyn sodium","King Pharmaceuticals, Inc."
1988,"Glipizide","Glipizide (Tablet)","glipizide","glipizide","Oral","DB01067","Glipizide","Endo Pharmaceuticals Inc."
1989,"Hydromorphone Hydrochloride","Hydromorphone Hydrochloride (Tablet)","hydromorphone hydrochloride","hydromorphone","Oral","","Hydromorohone Hydrochloride","Roxane"
1990,"Methadose","Methadose (Solution)","Methadone Hydrochloride","Methadone","Oral","","Methadone Hydrochloride","Mallinckrodt"
1991,"Albuterol","Albuterol (Aerosol, Metered)","Albuterol","Albuterol","Oral","","Albuterol","Armstrong Pharmaceuticals, Inc."
1992,"Levitra","Levitra (Tablet, Film Coated)","vardenafil hydrochloride","Vardenafil","Oral","","vardenafil hydrochloride","Bayer HealthCare Pharmaceuticals Inc."
1993,"Metoprolol Tartrate","Metoprolol Tartrate (Tablet, Film Coated)","Metoprolol Tartrate","Metoprolol","Oral","","Metoprolol Tartrate","Mylan Pharmaceuticals Inc."
1994,"Cuprimine","Cuprimine (Capsule)","Penicillamine","Penicillamine","Oral","DB00859","Penicillamine","Aton Pharma, Inc."
1995,"Accuretic","Accuretic (Tablet, Film Coated)","quinapril hydrochloride","quinapril","Oral","","quinapril hydrochloride and hydrochlorothiazide","Parke-Davis"
1996,"Nystatin","Nystatin (Powder, For Suspension)","Nystatin","Nystatin","Oral","DB00646","Nystatin","Paddock Laboratories, Inc."
1997,"Cephalexin","Cephalexin (Capsule)","Cephalexin","Cephalexin anhydrous","Oral","DB00567","Cephalexin","ORCHID HEALTHCARE (A DIVISION OF ORCHID CHEMICALS AND PHARMACEUTICALS LTD.)"
1998,"Istalol","Istalol (Solution)","timolol maleate","timolol","Ophthalmic","","timolol maleate","ISTA Pharmaceuticals, Inc."
1999,"Captopril","Captopril (Tablet)","captopril","captopril","Oral","DB01197","Captopril","Bristol-Myers Squibb Company"
2000,"Potassium Acetate","Potassium Acetate (Injection, Solution, Concentrate)","Potassium Acetate","Potassium Acetate","Intravenous","","Potassium Acetate","Hospira, Inc."
2001,"Erythromycin","Erythromycin (Solution)","Erythromycin","Erythromycin","Topical","DB00199","Erythromycin","Morton Grove Pharmaceuticals, Inc."
2002,"PREZISTA","PREZISTA (Tablet, Film Coated)","darunavir ethanolate","darunavir","Oral","","darunavir ethanolate","Ortho Biotech Products, L.P."
2003,"Benazepril and Hydrochlorothiazide","Benazepril and Hydrochlorothiazide (Tablet, Film Coated)","Benazepril Hydrochloride","Benazepril","Oral","","Benazepril and Hydrochlorothiazide","Ivax Pharmaceuticals, Inc."
2004,"ACETAMINOPHEN AND CODEINE","ACETAMINOPHEN AND CODEINE (Tablet)","Acetaminophen","acetaminophen","Oral","","Acetaminophen and Codeine Phosphate","Mutual Pharmaceutical Company"
2005,"Triamterene and Hydrochlorothiazide","Triamterene and Hydrochlorothiazide (Capsule)","Triamterene","Triamterene","Oral","","Triamterene and Hydrochlorothiazide","Sandoz Inc."
2006,"Plasma-Lyte 148 and dextrose","Plasma-Lyte 148 and dextrose (Injection, Solution)","Dextrose hydrous","dextrose","Intravenous","","Sodium chloride, potassium chloride, calcium chloride, sodium gluconate, sodium acetate and dextrose","Baxter Healthcare Corporation"
2007,"Lotensin HCT","Lotensin HCT (Tablet)","Benazepril hydrochloride","Benazepril","Oral","","benazepril hydrochloride and hydrochlorothiazide","Novartis Pharmaceuticals Corporation"
2008,"Aminosyn II with Electrolytes in Dextrose with Calcium","Aminosyn II with Electrolytes in Dextrose with Calcium (Injection, Solution)","Isoleucine","Isoleucine","Intravenous","","Isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, valine, alanine, arginine, aspartic acid, glutamic acid, histidine, proline, serine, tyrosine, glycine, dextrose monohydrate, sodium chloride, potassium chloride, calcium chloride, magnesium chloride and potassium phosphate, dibasic","Hospira, Inc."
2009,"Oxacillin","Oxacillin (Injection, Powder, For Solution)","Oxacillin Sodium","Oxacillin","Intramuscular","DB00713","Oxacillin","Sandoz Inc"
2010,"HydrOXYzine hydrochloride","HydrOXYzine hydrochloride (Tablet)","Hydroxyzine hydrochloride","Hydroxyzine","Oral","","Hydroxyzine hydrochloride","Sun Pharmaceutical Industries, Inc."
2011,"Spiriva","Spiriva (Capsule)","tiotropium bromide","tiotropium","Respiratory (inhalation)","","tiotropium bromide","Boehringer Ingelheim Pharmaceuticals, Inc."
2012,"Doxycycline","Doxycycline (Tablet, Film Coated)","Doxycycline","Doxycycline","Oral","DB00254","Doxycycline","Ranbaxy Pharmaceuticals Inc."
2013,"AVC","AVC (Cream)","Sulfanilamide","sulfanilamide","Vaginal","DB00259","sulfanilamide","Azur Pharma, Inc."
2014,"EMLA","EMLA (Cream)","Prilocaine","prilocaine","Topical","","Lidocaine and Prilocaine","AstraZeneca LP"
2015,"Sodium Lactate","Sodium Lactate (Injection, Solution, Concentrate)","Sodium Lactate","Sodium Lactate","Intravenous","","Sodium Lactate","Hospira, Inc."
2016,"Lorazepam","Lorazepam (Tablet)","Lorazepam","Lorazepam","Oral","DB00186","Lorazepam","Sandoz Inc."
2017,"Adenosine","Adenosine (Injection)","adenosine","adenosine","Intravenous","DB00640","Adenosine","Bedford Laboratories"
2018,"Cyclomydril","Cyclomydril (Solution/ Drops)","cyclopentolate hydrochloride","cyclopentolate","Ophthalmic","","cyclopentolate hydrochloride and phenylephrine hydrochloride","Alcon"
2019,"Taxotere","Taxotere (Injection, Solution, Concentrate)","docetaxel","docetaxel","Intravenous","DB01248","docetaxel","sanofi-aventis U.S. LLC"
2020,"IRESSA","IRESSA (Tablet, Coated)","Gefitinib","Gefitinib","Oral","DB00317","Gefitinib","AstraZeneca Pharmaceuticals LP"
2021,"Ticlid","Ticlid (Tablet, Film Coated)","Ticlopidine hydrochloride","ticlopidine","Oral","","Ticlopidine hydrochloride","Roche Pharmaceuticals"
2022,"Kaletra","Kaletra (Tablet, Film Coated)","Lopinavir","Lopinavir","Oral","","lopinavir and ritonavir","Abbott Laboratories"
2023,"Carbidopa and Levodopa","Carbidopa and Levodopa (Tablet)","carbidopa","carbidopa","Oral","","Carbidopa and Levodopa","Sun Pharmaceutical Industries Ltd."
2024,"LidoSite","LidoSite (Patch)","lidocaine hydrochloride","lidocaine","Iontophoresis","","Lidocaine hydrochloride and Epinephrine bitartrate","B. Braun Medical, Inc."
2025,"Femara","Femara (Tablet, Film Coated)","letrozole","letrozole","Oral","DB01006","letrozole","Novartis Pharmaceuticals Corporation"
2026,"Viadur","Viadur (Kit)","LEUPROLIDE ACETATE","LEUPROLIDE","Subcutaneous","","leuprolide acetate","Bayer Pharmaceuticals Corporation"
2027,"Loxapine","Loxapine (Capsule)","Loxapine succinate","Loxapine","Oral","","Loxapine succinate","Mylan Pharmaceuticals Inc."
2028,"Feridex","Feridex (Solution)","ferumoxides","iron","Intravenous","","ferumoxides","Bayer HealthCare Pharmaceuticals Inc."
2029,"ALBALON","ALBALON (Solution)","naphazoline hydrochloride","naphazoline","Ophthalmic","","naphazoline hydrochloride","Allergan Inc."
2030,"Temovate","Temovate (Cream)","clobetasol propionate","clobetasol","Topical","","clobetasol propionate","PharmaDerm"
2031,"Geodon","Geodon (Capsule)","ziprasidone hydrochloride","ziprasidone","Oral","","ziprasidone hydrochloride","Roerig"
2032,"Tekturna","Tekturna (Tablet, Film Coated)","Aliskiren fumarate","Aliskiren","Oral","","aliskiren fumarate","Novartis Pharmaceuticals Corporation"
2033,"Lidocaine and Prilocaine","Lidocaine and Prilocaine (Cream)","lidocaine","lidocaine","Topical","","Lidocaine and Prilocaine","E.FOUGERA and CO."
2034,"Propoxyphene","Propoxyphene (Capsule)","Propoxyphene hydrochloride","Propoxyphene","Oral","","Propoxyphene hydrochloride",""
2035,"Carac","Carac (Cream)","fluorouracil","fluorouracil","Topical","DB00544","fluorouracil","Dermik Laboratories"
2036,"Estraderm","Estraderm (Patch, Extended Release)","estradiol","estradiol","Transdermal","DB00783","estradiol","Novartis Pharmaceuticals Corporation"
2037,"Glipizide","Glipizide (Tablet)","Glipizide","glipizide","Oral","DB01067","Glipizide","CARACO PHARMACEUTICAL LABORATORIES, LTD."
2038,"FASLODEX","FASLODEX (Injection)","Fulvestrant","Fulvestrant","Intramuscular","DB00947","fulvestrant","AstraZeneca Pharmaceuticals LP"
2039,"Boniva","Boniva (Tablet, Film Coated)","ibandronate sodium","ibandronic acid","Oral","","ibandronate sodium","Roche Pharmaceuticals"
2040,"VIVITROL","VIVITROL (Kit)","naltrexone","naltrexone","Intramuscular","DB00704","naltrexone","Alkermes, Inc."
2041,"Quinapril Hydrochloride and Hydrochlorothiazide","Quinapril Hydrochloride and Hydrochlorothiazide (Tablet, Film Coated)","Quinapril Hydrochloride","Quinapril","Oral","","Quinapril Hydrochloride and Hydrochlorothiazide","Mylan Pharmaceuticals Inc."
2042,"Citalopram Hydrobromide","Citalopram Hydrobromide (Tablet)","Citalopram Hydrobromide","Citalopram","Oral","","Citalopram Hydrobromide","ALPHAPHARM PTY LTD"
2043,"Metronidazole","Metronidazole (Tablet)","Metronidazole","Metronidazole","Oral","DB00916","Metronidazole","Mutual Pharmaceutical Company, Inc."
2044,"ARESTIN","ARESTIN (Powder)","minocycline hydrochloride","minocycline","Oral","","minocycline hydrochloride","Cord Logistics, Inc."
2045,"Betamethasone Dipropionate","Betamethasone Dipropionate (Ointment)","betamethasone dipropionate","betamethasone","Topical","","Betamethasone Dipropionate","E. FOUGERA and CO."
2046,"Naloxone Hydrochloride","Naloxone Hydrochloride (Injection, Solution)","Naloxone Hydrochloride","Naloxone","Intramuscular","","Naloxone Hydrochloride","Hospira, Inc."
2047,"Travasol","Travasol (Injection)","Leucine","Leucine","Intravenous","","Leucine, Phenylalanine, Lysine hydrochloride,
Methionine, Isoleucine, Valine, Histidine, Threonine,
Tryptophan, Alanine, Glycine, Arginine, Proline,
Tyrosine, Serine","Baxter Healthcare Corporation"
2048,"Lithium Carbonate","Lithium Carbonate (Capsule)","Lithium Carbonate","Lithium cation","Oral","","Lithium Carbonate","West-ward Pharmaceutical Corp."
2049,"Nystatin","Nystatin (Suspension)","Nystatin","Nystatin","Oral","DB00646","Nystatin","E. FOUGERA and CO."
2050,"Rifampin","Rifampin (Capsule)","Rifampin","Rifampin","Oral","DB01045","Rifampin","Lannett Company, Inc."
2051,"Butalbital, Acetaminophen, and Caffeine","Butalbital, Acetaminophen, and Caffeine (Tablet)","Butalbital","Butalbital","Oral","","Butalbital, Acetaminophen, and Caffeine","West-ward Pharmaceutical Corp."
2052,"Relpax","Relpax (Tablet, Film Coated)","eletriptan hydrobromide","eletriptan","Oral","","eletriptan hydrobromide","Pfizer Inc."
2053,"Dextrose","Dextrose (Injection, Solution)","dextrose monohydrate","dextrose","Intravenous","","Dextrose monohydrate","HOSPIRA INC."
2054,"Fluvoxamine maleate","Fluvoxamine maleate (Tablet, Film Coated)","Fluvoxamine maleate","Fluvoxamine","Oral","","Fluvoxamine maleate","Synthon Pharmaceuticals, Inc."
2055,"Sulfacetamide Sodium","Sulfacetamide Sodium (Ointment)","Sulfacetamide Sodium","Sulfacetamide","Ophthalmic","","Sulfacetamide Sodium","E. FOUGERA&CO."
2056,"Plasma-Lyte 56 and Dextrose","Plasma-Lyte 56 and Dextrose (Injection, Solution)","Dextrose hydrous","dextrose","Intravenous","","Sodium chloride, potassium acetate, magnesium acetate and dextrose","Baxter Healthcare Corporation"
2057,"Nimotop","Nimotop (Capsule, Gelatin Coated)","Nimodipine","Nimodipine","Oral","DB00393","nimodipine","Bayer Pharmaceuticals Corporation"
2058,"Clindamycin Phosphate","Clindamycin Phosphate (Solution)","Clindamycin Phosphate","Clindamycin","Topical","","clindamycin phosphate","Glades Pharmaceuticals, Inc."
2059,"Maxidex","Maxidex (Ointment)","dexamethasone sodium phosphate","dexamethasone phosphate","Ophthalmic","","dexamethasone sodium phosphate","Alcon"
2060,"Benazepril Hydrochloride and Hydrochlorothiazide","Benazepril Hydrochloride and Hydrochlorothiazide (Tablet, Film Coated)","Benazepril Hydrochloride","Benazepril","Oral","","Benazepril Hydrochloride and Hydrochlorothiazide","Andrx Pharmaceuticals, Inc."
2061,"Brimonidine Tartrate","Brimonidine Tartrate (Solution / Drops)","Brimonidine Tartrate","Brimonidine","Ophthalmic","","Brimonidine Tartrate","Bausch&Lomb Incorporated"
2062,"Cutivate","Cutivate (Ointment)","fluticasone propionate","fluticasone","Topical","DB00588","fluticasone propionate","PharmaDerm"
2063,"Lidocaine Hydrochloride","Lidocaine Hydrochloride (Spray)","Lidocaine Hydrochloride","Lidocaine","Laryngeal","","Lidocaine Hydrochloride","HOSPIRA, INC."
2064,"Cardizem","Cardizem (Capsule)","diltiazem hydrochloride","diltiazem","Oral","","diltiazem hydrochloride","Biovail Pharmaceuticals, Inc."
2065,"Flurbiprofen","Flurbiprofen (Tablet, Film Coated)","Flurbiprofen","Flurbiprofen","Oral","DB00712","Flurbiprofen","Mylan Pharmaceuticals Inc."
2066,"Butalbital, Acetaminophen&Caffeine","Butalbital, Acetaminophen&Caffeine (Tablet)","Butalbital","Butalbital","Oral","","Butalbital, Acetaminophen and Caffeine","West-ward Pharmaceutical Corp."
2067,"MELOXICAM","MELOXICAM (Tablet)","meloxicam","meloxicam","Oral","DB00814","Meloxicam","MUTUAL PHARMACEUTICAL COMPANY, INC."
2068,"Evamist","Evamist (Spray, Metered)","estradiol","estradiol","Transdermal","DB00783","estradiol","VIVUS, Inc."
2069,"Doxycycline Monohydrate","Doxycycline Monohydrate (Tablet)","Doxycycline","Doxycycline","Oral","DB00254","Doxycycline","Par Pharmaceutical Inc"
2070,"Imodium","Imodium (Capsule)","Loperamide Hydrochloride","Loperamide","Oral","","Loperamide Hydrochloride","McNeil Consumer Healthcare"
2071,"Amlodipine Besylate","Amlodipine Besylate (Tablet)","AMLODIPINE BESYLATE","AMLODIPINE","Oral","","Amlodipine Besylate","TORRENT PHARMA INC."
2072,"Diltiazem Hydrochloride","Diltiazem Hydrochloride (Powder, For Solution)","Diltiazem Hydrochloride","Diltiazem","Intravenous","","Diltiazem Hydrochloride","HOSPIRA, INC."
2073,"Dovonex","Dovonex (Cream)","calcipotriene hydrate","CALCIPOTRIENE","Topical","","calcipotriene hydrate","Warner Chilcott (US), LLC"
2074,"Norflex","Norflex (Tablet, Extended Release)","orphenadrine citrate","orphenadrine","Oral","","orphenadrine citrate","3M Pharmaceuticals"
2075,"Vaprisol","Vaprisol (Liquid)","conivaptan hydrochloride","conivaptan","Conjunctival","","conivaptan hydrochloride","Astellas Pharma US, Inc."
2076,"GENTAK","GENTAK (Solution)","Gentamicin Sulfate","Gentamicin","Ophthalmic","","Gentamicin Sulfate","Akorn, Inc."
2077,"Sodium Chloride","Sodium Chloride (Irrigant)","Sodium Chloride","Sodium Chloride","Irrigation","","Sodium Chloride","Hospira, Inc."
2078,"Hydroxyzine hydrochloride","Hydroxyzine hydrochloride (Tablet, Film Coated)","Hydroxyzine hydrochloride","Hydroxyzine","Oral","","Hydroxyzine hydrochloride","Mutual Pharmaceutical Company, Inc."
2079,"Polymyxin B Sulfate and Trimethoprim","Polymyxin B Sulfate and Trimethoprim (Solution / Drops)","Polymyxin B Sulfate","Polymyxin B","Ophthalmic","","Polymyxin B Sulfate and Trimethoprim sulfate","Bausch&Lomb Incorporated"
2080,"ALBUTEROL SULFATE","ALBUTEROL SULFATE (Tablet)","albuterol sulfate","albuterol","Oral","","albuterol sulfate","MUTUAL PHARMACEUTICAL CO., INC."
2081,"Bacteriostatic Water","Bacteriostatic Water (Injection, Solution)","Water","Water","Intramuscular","","Water","HOSPIRA, INC."
2082,"Premarin","Premarin (Injection, Powder, Lyophilized, For Solution)","Conjugated Estrogens","conjugated estrogens","Intravenous","DB00286","Conjugated Estrogens","Wyeth Pharmaceuticals, Inc."
2083,"Buprenorphine Hydrochloride","Buprenorphine Hydrochloride (Injection)","buprenorphine hydrochloride","buprenorphine","Intramuscular","","Buprenorphine Hydrochloride","Bedford Laboratories"
2084,"Nicardipine Hydrochloride","Nicardipine Hydrochloride (Capsule)","Nicardipine Hydrochloride","Nicardipine","Oral","","Nicardipine Hydrochloride","TEVA PHARMACEUTICALS USA"
2085,"Sinequan","Sinequan (Capsule)","doxepin hydrochloride","doxepin","Oral","","doxepin hydrochloride","Roerig"
2086,"benztropine mesylate","benztropine mesylate (Tablet)","benztropine mesylate","benztropine","Oral","","benztropine mesylate","UPSHER-SMITH LABORATORIES, INC."
2087,"XYZAL","XYZAL (Tablet, Coated)","levocetirizine dihydrochloride","levocetirizine","Oral","","levocetirizine dihydrochloride","UCB, Inc."
2088,"Cysto-Conray II","Cysto-Conray II (Injection)","Iothalamate Meglumine","Iothalamic acid","Urethral","","Iothalamate Meglumine","Mallinckrodt Inc."
2089,"Dilantin Kapseals","Dilantin Kapseals (Capsule, Extended Release)","Phenytoin Sodium","Phenytoin","Oral","","Phenytoin Sodium","Parke-Davis"
2090,"Etodolac","Etodolac (Tablet, Film Coated)","Etodolac","Etodolac","Oral","DB00749","Etodolac","Mylan Pharmaceuticals Inc."
